# [0]ell [1]TgradT [2]EgradE [3]BgradB [4]TgradE
2.000000000000000000e+00 1.015333726532422588e+03 3.086286841858424182e-02 2.971710775326718480e-06 2.618298368233957341e+00
3.000000000000000000e+00 9.617581709272064927e+02 3.962983040585715128e-02 5.953832566503618091e-06 2.932582570462594962e+00
4.000000000000000000e+00 9.108808957477888271e+02 3.444552783441968968e-02 9.914385604253697566e-06 2.751513040472398863e+00
5.000000000000000000e+00 8.729101271426781068e+02 2.306347059384422984e-02 1.487631137483091068e-05 2.344122675599747740e+00
6.000000000000000000e+00 8.469260372981664204e+02 1.293836914457471843e-02 2.082180823884979584e-05 1.889042502453963213e+00
7.000000000000000000e+00 8.303494324865805538e+02 6.999739358135539935e-03 2.776582252212980224e-05 1.483816483616980708e+00
8.000000000000000000e+00 8.206281549104296573e+02 4.511197726423603338e-03 3.569512003371805520e-05 1.171735807340649416e+00
9.000000000000000000e+00 8.162743628501513058e+02 3.624905804652873726e-03 4.462121030314668112e-05 9.620590089456730887e-01
1.000000000000000000e+01 8.157166937440939591e+02 3.106458049471413387e-03 5.453340363962112472e-05 8.453079994003616093e-01
1.100000000000000000e+01 8.180763649571298401e+02 2.631486528816616953e-03 6.544126647566049276e-05 8.018522126690156293e-01
1.200000000000000000e+01 8.228426910749441276e+02 2.310944765374334763e-03 7.733552689643772573e-05 8.098439577936752398e-01
1.300000000000000000e+01 8.293862550661924615e+02 2.228987867650705171e-03 9.022474233454673344e-05 8.490780060276935659e-01
1.400000000000000000e+01 8.373236354071415235e+02 2.329308753565354634e-03 1.040999475896924026e-04 9.041381946645836720e-01
1.500000000000000000e+01 8.463322180202403615e+02 2.523973573724531527e-03 1.189687749675066608e-04 9.650329395873976646e-01
1.600000000000000000e+01 8.564412607426532986e+02 2.792734986910795116e-03 1.348233115597747579e-04 1.027426106504091941e+00
1.700000000000000000e+01 8.674398576896289796e+02 3.174483225725042903e-03 1.516700568922425070e-04 1.088989259546508270e+00
1.800000000000000000e+01 8.787424566148680469e+02 3.709911634919065872e-03 1.695017216380379161e-04 1.150518800101724359e+00
1.900000000000000000e+01 8.914975676070542931e+02 4.409397079370152607e-03 1.883240038720334665e-04 1.217807021831940117e+00
2.000000000000000000e+01 9.043420251716455596e+02 5.256344811033415373e-03 2.081299397987704475e-04 1.287465325730193344e+00
2.100000000000000000e+01 9.178221431264263401e+02 6.237661930652604707e-03 2.289246828749539632e-04 1.361299201165602435e+00
2.200000000000000000e+01 9.317636395460672247e+02 7.357833941237545625e-03 2.507014600455728551e-04 1.436822959820892365e+00
2.300000000000000000e+01 9.457692440540957932e+02 8.616553037406876961e-03 2.734647370689905952e-04 1.512715099158258525e+00
2.400000000000000000e+01 9.601947491613335615e+02 1.001741395769110629e-02 2.972081902991676773e-04 1.587461294143684976e+00
2.500000000000000000e+01 9.752078484231561788e+02 1.155414523871090525e-02 3.219366807226903900e-04 1.653154756021963045e+00
2.600000000000000000e+01 9.903294482567995374e+02 1.322940077838657968e-02 3.476423183299233509e-04 1.712842568861637993e+00
2.700000000000000000e+01 1.005890705090610936e+03 1.506744480271882645e-02 3.743294698487743756e-04 1.766829129297185164e+00
2.800000000000000000e+01 1.021660810143904996e+03 1.707529419345551330e-02 4.019914271340669200e-04 1.810166854655717472e+00
2.900000000000000000e+01 1.037656674487990585e+03 1.926892317861762099e-02 4.306317844048752051e-04 1.848875019978481582e+00
3.000000000000000000e+01 1.054163033838648516e+03 2.166411398515534492e-02 4.602438912955176880e-04 1.876996474547010463e+00
3.100000000000000000e+01 1.070484177753460926e+03 2.425865724981411675e-02 4.908309218225248224e-04 1.903673792849839064e+00
3.200000000000000000e+01 1.087319028972278829e+03 2.707553617905519155e-02 5.223862623137212093e-04 1.922504067610641298e+00
