#    L    TT             EE             BB             TE          
     2   0.106138E+04   0.352547E-01   0.184805E-05   0.281559E+01
     3   0.100067E+04   0.478480E-01   0.369251E-05   0.322896E+01
     4   0.943565E+03   0.441149E-01   0.615034E-05   0.308806E+01
     5   0.900490E+03   0.314334E-01   0.922305E-05   0.267786E+01
     6   0.870569E+03   0.185644E-01   0.129122E-04   0.219205E+01
     7   0.850978E+03   0.100758E-01   0.172188E-04   0.174030E+01
     8   0.838545E+03   0.609804E-02   0.221438E-04   0.137508E+01
     9   0.832654E+03   0.469258E-02   0.276883E-04   0.111489E+01
    10   0.830443E+03   0.408132E-02   0.338536E-04   0.954218E+00
    11   0.831142E+03   0.350852E-02   0.406409E-04   0.878681E+00
    12   0.835196E+03   0.298756E-02   0.480520E-04   0.866896E+00
    13   0.841092E+03   0.270858E-02   0.560881E-04   0.895765E+00
    14   0.848037E+03   0.270553E-02   0.647510E-04   0.946381E+00
    15   0.856154E+03   0.287135E-02   0.740423E-04   0.100601E+01
    16   0.865643E+03   0.310898E-02   0.839635E-04   0.106777E+01
    17   0.876380E+03   0.341363E-02   0.945164E-04   0.112846E+01
    18   0.887385E+03   0.384334E-02   0.105702E-03   0.118731E+01
    19   0.899913E+03   0.445006E-02   0.117523E-03   0.124855E+01
    20   0.912573E+03   0.523953E-02   0.129981E-03   0.131070E+01
    21   0.925674E+03   0.619570E-02   0.143076E-03   0.137618E+01
    22   0.939211E+03   0.730423E-02   0.156811E-03   0.144528E+01
    23   0.953112E+03   0.856213E-02   0.171186E-03   0.151768E+01
    24   0.967386E+03   0.996897E-02   0.186205E-03   0.159093E+01
    25   0.982014E+03   0.115242E-01   0.201866E-03   0.166065E+01
    26   0.996909E+03   0.132242E-01   0.218173E-03   0.172514E+01
    27   0.101215E+04   0.150682E-01   0.235127E-03   0.178132E+01
    28   0.102768E+04   0.170675E-01   0.252727E-03   0.182807E+01
    29   0.104351E+04   0.192414E-01   0.270976E-03   0.186614E+01
    30   0.105964E+04   0.216073E-01   0.289875E-03   0.189600E+01
    31   0.107587E+04   0.241790E-01   0.309424E-03   0.191834E+01
    32   0.109237E+04   0.269676E-01   0.329625E-03   0.193374E+01
    33   0.110912E+04   0.299760E-01   0.350477E-03   0.194234E+01
    34   0.112609E+04   0.332105E-01   0.371982E-03   0.194341E+01
    35   0.114329E+04   0.366793E-01   0.394141E-03   0.193719E+01
    36   0.116063E+04   0.403822E-01   0.416953E-03   0.192363E+01
    37   0.117810E+04   0.443177E-01   0.440420E-03   0.190126E+01
    38   0.119582E+04   0.484891E-01   0.464541E-03   0.186808E+01
    39   0.121377E+04   0.529042E-01   0.489317E-03   0.182331E+01
    40   0.123194E+04   0.575721E-01   0.514747E-03   0.176647E+01
    41   0.125026E+04   0.625012E-01   0.540833E-03   0.169734E+01
    42   0.126874E+04   0.676963E-01   0.567574E-03   0.161669E+01
    43   0.128738E+04   0.731613E-01   0.594970E-03   0.152511E+01
    44   0.130621E+04   0.788999E-01   0.623021E-03   0.142185E+01
    45   0.132528E+04   0.849210E-01   0.651727E-03   0.130686E+01
    46   0.134452E+04   0.912313E-01   0.681087E-03   0.118083E+01
    47   0.136387E+04   0.978328E-01   0.711102E-03   0.104424E+01
    48   0.138333E+04   0.104721E+00   0.741771E-03   0.896198E+00
    49   0.140298E+04   0.111891E+00   0.773093E-03   0.735545E+00
    50   0.142293E+04   0.119349E+00   0.805069E-03   0.561315E+00
    51   0.144316E+04   0.127099E+00   0.837698E-03   0.373033E+00
    52   0.146358E+04   0.135141E+00   0.870979E-03   0.171065E+00
    53   0.148408E+04   0.143473E+00   0.904912E-03  -0.440977E-01
    54   0.150469E+04   0.152096E+00   0.939497E-03  -0.272242E+00
    55   0.152544E+04   0.161011E+00   0.974732E-03  -0.513378E+00
    56   0.154647E+04   0.170215E+00   0.101062E-02  -0.768050E+00
    57   0.156784E+04   0.179708E+00   0.104716E-02  -0.103637E+01
    58   0.158942E+04   0.189497E+00   0.108434E-02  -0.131767E+01
    59   0.161109E+04   0.199585E+00   0.112218E-02  -0.161132E+01
    60   0.163289E+04   0.209961E+00   0.116066E-02  -0.191768E+01
    61   0.165494E+04   0.220612E+00   0.119979E-02  -0.223737E+01
